datetime,id,open,high,low,close,volume,open_oi,close_oi,symbol,duration,strike,opt_type,S,iv,iv_pct
2026-03-11 01:30:00,98.0,223.5,223.5,214.5,216.5,102.0,2147.0,2184.0,CZCE.TA605C7200,300,7200,C,6102.0,0.7741043979924569,77.4104397992457
2026-03-11 01:30:00,97.0,1288.5,1288.5,1288.5,1288.5,0.0,137.0,137.0,CZCE.TA605P7200,300,7200,P,6102.0,0.75257105468093,75.257105468093
2026-03-11 01:30:00,99.0,247.5,247.5,235.0,240.0,70.0,1397.0,1404.0,CZCE.TA605C7000,300,7000,C,6102.0,0.7399730156038262,73.99730156038262
2026-03-11 01:35:00,37.0,1199.0,1199.0,1199.0,1199.0,0.0,35.0,35.0,CZCE.TA605P7100,300,7100,P,6096.0,0.7276749451145342,72.76749451145342
2026-03-11 01:35:00,97.0,943.5,943.5,943.5,943.5,0.0,345.0,345.0,CZCE.TA605P6800,300,6800,P,6096.0,0.6840223641745143,68.40223641745143
2026-03-11 01:35:00,100.0,240.0,240.0,231.5,233.5,38.0,1404.0,1424.0,CZCE.TA605C7000,300,7000,C,6096.0,0.7327868259607176,73.27868259607176
2026-03-11 01:35:00,98.0,1288.5,1288.5,1288.5,1288.5,0.0,137.0,137.0,CZCE.TA605P7200,300,7200,P,6096.0,0.7453434859991152,74.53434859991151
2026-03-11 01:35:00,100.0,1377.0,1377.0,1377.0,1377.0,0.0,189.0,189.0,CZCE.TA605P7300,300,7300,P,6096.0,0.7600079009061499,76.00079009061498
2026-03-11 01:35:00,100.0,272.0,272.0,262.5,262.5,20.0,1161.0,1151.0,CZCE.TA605C6800,300,6800,C,6096.0,0.7000338756586463,70.00338756586463
2026-03-11 01:35:00,99.0,216.5,218.5,209.5,211.0,68.0,2184.0,2214.0,CZCE.TA605C7200,300,7200,C,6096.0,0.767895465788198,76.7895465788198
2026-03-11 01:35:00,100.0,1070.0,1070.0,1070.0,1070.0,0.0,215.0,215.0,CZCE.TA605P6900,300,6900,P,6096.0,0.7633534097198589,76.33534097198589
2026-03-11 01:35:00,100.0,206.0,208.5,200.0,202.0,96.0,10455.0,10484.0,CZCE.TA605C7300,300,7300,C,6096.0,0.7873036414402057,78.73036414402057
2026-03-11 01:35:00,100.0,1190.5,1190.5,1190.5,1190.5,0.0,42.0,42.0,CZCE.TA605P7000,300,7000,P,6096.0,0.833013674247035,83.3013674247035
2026-03-11 01:35:00,100.0,252.5,252.5,246.0,246.0,6.0,1417.0,1412.0,CZCE.TA605C6900,300,6900,C,6096.0,0.7144198458490973,71.44198458490973
2026-03-11 01:35:00,100.0,234.0,234.0,221.5,221.5,45.0,844.0,851.0,CZCE.TA605C7100,300,7100,C,6096.0,0.7498537017572551,74.9853701757255
2026-03-11 01:40:00,101.0,233.5,235.0,230.0,235.0,42.0,1424.0,1425.0,CZCE.TA605C7000,300,7000,C,6094.0,0.7360834834575604,73.60834834575604
2026-03-11 01:40:00,99.0,1288.5,1288.5,1288.5,1288.5,0.0,137.0,137.0,CZCE.TA605P7200,300,7200,P,6094.0,0.742935348777342,74.2935348777342
2026-03-11 01:40:00,101.0,1190.5,1190.5,1190.5,1190.5,0.0,42.0,42.0,CZCE.TA605P7000,300,7000,P,6094.0,0.8310811839149266,83.10811839149265
2026-03-11 01:40:00,38.0,1199.0,1199.0,1199.0,1199.0,0.0,35.0,35.0,CZCE.TA605P7100,300,7100,P,6094.0,0.7253798231205336,72.53798231205336
2026-03-11 01:40:00,98.0,943.5,963.5,943.5,953.0,30.0,345.0,365.0,CZCE.TA605P6800,300,6800,P,6094.0,0.6962607475579641,69.62607475579641
2026-03-11 01:40:00,101.0,1377.0,1377.0,1377.0,1377.0,0.0,189.0,189.0,CZCE.TA605P7300,300,7300,P,6094.0,0.7574753316509042,75.74753316509042
2026-03-11 01:40:00,101.0,202.0,205.0,198.5,201.5,127.0,10484.0,10502.0,CZCE.TA605C7300,300,7300,C,6094.0,0.7874300344709211,78.74300344709211
2026-03-11 01:40:00,100.0,211.0,214.0,206.5,214.0,183.0,2214.0,2209.0,CZCE.TA605C7200,300,7200,C,6094.0,0.7738341515464823,77.38341515464823
2026-03-11 01:40:00,101.0,1070.0,1070.0,1070.0,1070.0,0.0,215.0,215.0,CZCE.TA605P6900,300,6900,P,6094.0,0.7614197619404246,76.14197619404246
2026-03-11 01:40:00,101.0,221.5,222.0,218.0,222.0,38.0,851.0,838.0,CZCE.TA605C7100,300,7100,C,6094.0,0.7516451854890354,75.16451854890353
2026-03-11 01:40:00,101.0,262.5,262.5,252.5,258.0,41.0,1151.0,1171.0,CZCE.TA605C6800,300,6800,C,6094.0,0.6943980637546909,69.43980637546909
2026-03-11 01:40:00,101.0,246.0,246.0,239.5,239.5,35.0,1412.0,1441.0,CZCE.TA605C6900,300,6900,C,6094.0,0.7055154049889752,70.55154049889752
2026-03-11 01:45:00,39.0,1199.0,1199.0,1199.0,1199.0,0.0,35.0,35.0,CZCE.TA605P7100,300,7100,P,6126.0,0.7615097868475724,76.15097868475725
2026-03-11 01:45:00,102.0,201.5,210.0,201.5,202.5,295.0,10502.0,10596.0,CZCE.TA605C7300,300,7300,C,6126.0,0.774278667336494,77.4278667336494
2026-03-11 01:45:00,102.0,222.0,230.0,222.0,222.5,11.0,838.0,829.0,CZCE.TA605C7100,300,7100,C,6126.0,0.7373603454336015,73.73603454336015
2026-03-11 01:45:00,101.0,214.0,215.5,214.0,214.0,3.0,2209.0,2209.0,CZCE.TA605C7200,300,7200,C,6126.0,0.7589006533085514,75.89006533085514
2026-03-11 01:45:00,102.0,235.0,243.0,232.5,236.0,12.0,1425.0,1428.0,CZCE.TA605C7000,300,7000,C,6126.0,0.722156128494943,72.2156128494943
2026-03-11 01:45:00,100.0,1288.5,1288.5,1288.5,1288.5,0.0,137.0,137.0,CZCE.TA605P7200,300,7200,P,6126.0,0.7807459226803871,78.07459226803871
2026-03-11 01:45:00,102.0,258.0,264.0,258.0,259.5,13.0,1171.0,1168.0,CZCE.TA605C6800,300,6800,C,6126.0,0.6803333212026529,68.03333212026529
2026-03-11 01:45:00,102.0,1070.0,1070.0,1070.0,1070.0,0.0,215.0,215.0,CZCE.TA605P6900,300,6900,P,6126.0,0.7922604584876678,79.22604584876677
